Plant,Leaf,Treat,V1,V2,V3,V4
CB,A,CK,526.7488807,603.2858899,569.3551636,NA
CB,A,TT,468.2175949,504.167625,460.0425,NA
CB,B,CK,500.0404476,466.5491608,555.3441111,NA
CB,B,TT,435.227561,362.7241463,387.6471951,NA
CB,C,CK,506.5352941,510.1782353,575.7511765,NA
CB,C,TT,278.3888442,269.5653,257.8492462,NA
AT,A,CK,22.11315789,36.78078947,23.33546053,33.11388158
AT,A,TT,156.5065468,156.5065468,162.2126174,149.7434899
AT,B,CK,411.4613378,400.2766555,430.6956081,445.7596622
AT,B,TT,1085.225183,1103.742458,1117.230769,1130.331346
AT,C,CK,471.9273529,521.1070588,484.6017757,519.3288785
AT,C,TT,977.022033,980.0845055,980.01,990.021321
