"Gene","Plant","S1","S2","P"
"NiR","Arabidopsis","A@CA5@A","A@NCA@A",0.859875744572787
"NR","Arabidopsis","A@CA5@A","A@NCA@A",0.859875744572787
"NiR","Arabidopsis","B@CA5@A","A@CA5@A",0.00071169860788386
"NR","Arabidopsis","B@CA5@A","A@CA5@A",0.101301924720026
"NiR","Arabidopsis","B@CA5@A","A@NCA@A",0.00181639381225317
"NR","Arabidopsis","B@CA5@A","A@NCA@A",0.199817896335222
"NiR","Arabidopsis","B@CA5@A","B@NCA@A",0.00622965439752973
"NR","Arabidopsis","B@CA5@A","B@NCA@A",0.939143024757445
"NiR","Arabidopsis","B@NCA@A","A@CA5@A",0.638604625627817
"NR","Arabidopsis","B@NCA@A","A@CA5@A",0.427498341378855
"NiR","Arabidopsis","B@NCA@A","A@NCA@A",0.867250393149851
"NR","Arabidopsis","B@NCA@A","A@NCA@A",0.49678691386847
"NiR","Arabidopsis","C@CA5@A","A@CA5@A",0.0122911203117107
"NR","Arabidopsis","C@CA5@A","A@CA5@A",1.49407683687159e-09
"NiR","Arabidopsis","C@CA5@A","A@NCA@A",0.00314218632756905
"NR","Arabidopsis","C@CA5@A","A@NCA@A",1.85334478165304e-09
"NiR","Arabidopsis","C@CA5@A","B@CA5@A",2.49135733665127e-07
"NR","Arabidopsis","C@CA5@A","B@CA5@A",7.32960279606983e-08
"NiR","Arabidopsis","C@CA5@A","B@NCA@A",0.00202376774740838
"NR","Arabidopsis","C@CA5@A","B@NCA@A",3.49016846125801e-08
"NiR","Arabidopsis","C@CA5@A","C@NCA@A",0.115319510255344
"NR","Arabidopsis","C@CA5@A","C@NCA@A",0.254878867589617
"NiR","Arabidopsis","C@NCA@A","A@CA5@A",0.000118486394101049
"NR","Arabidopsis","C@NCA@A","A@CA5@A",3.79021916876441e-08
"NiR","Arabidopsis","C@NCA@A","A@NCA@A",2.20416556444714e-05
"NR","Arabidopsis","C@NCA@A","A@NCA@A",4.99159355505692e-08
"NiR","Arabidopsis","C@NCA@A","B@CA5@A",4.14412573504343e-09
"NR","Arabidopsis","C@NCA@A","B@CA5@A",2.42950213603985e-06
"NiR","Arabidopsis","C@NCA@A","B@NCA@A",7.96882004668542e-06
"NR","Arabidopsis","C@NCA@A","B@NCA@A",1.11588044310948e-06
